cycle,px,py,objective,best_val,evaluated_count,no_improvement_count,status
1,16,16,2.82187639112928,2.82187639112928,2,0,improved
2,16,4,3.5756446378224145,2.82187639112928,3,1,no_improvement
3,17,16,2.981420000377715,2.82187639112928,4,2,no_improvement
4,2,2,4.061881684530914,2.82187639112928,5,3,no_improvement
5,12,11,3.1001497280963886,2.82187639112928,6,4,no_improvement
6,12,8,3.5059938995607958,2.82187639112928,7,5,no_improvement
7,17,17,2.81525078099529,2.81525078099529,8,0,improved
8,16,9,3.575657841340833,2.81525078099529,9,1,no_improvement
9,9,1,3.4079286710408048,2.81525078099529,10,2,no_improvement
10,4,3,3.134337036450972,2.81525078099529,11,3,no_improvement
11,4,1,3.134337036452612,2.81525078099529,12,4,no_improvement
12,12,3,3.5059947985782114,2.81525078099529,13,5,no_improvement
13,1,1,9.884851863760804,2.81525078099529,14,6,no_improvement
14,13,1,3.5277538006277847,2.81525078099529,15,7,no_improvement
15,8,1,3.356175235128135,2.81525078099529,16,8,no_improvement
16,15,14,3.0194632994850163,2.81525078099529,17,9,no_improvement
17,16,10,3.5756578400103027,2.81525078099529,18,10,no_improvement
