cycle,px,py,objective,best_val,evaluated_count,no_improvement_count,status
1,5,4,3.1301981328018202,3.1301981328018202,2,0,improved
2,17,16,2.981420000377715,2.981420000377715,3,0,improved
3,16,8,3.575645912355745,2.981420000377715,4,1,no_improvement
4,9,2,3.407881816178127,2.981420000377715,5,2,no_improvement
5,16,16,2.82187639112928,2.82187639112928,6,0,improved
6,4,1,3.134337036452612,2.82187639112928,7,1,no_improvement
7,4,4,3.1337838981128,2.82187639112928,8,2,no_improvement
8,1,1,9.884851863760804,2.82187639112928,9,3,no_improvement
9,15,7,3.5619586331220447,2.82187639112928,10,4,no_improvement
10,12,1,3.505993122888169,2.82187639112928,11,5,no_improvement
11,7,3,3.287151355240872,2.82187639112928,12,6,no_improvement
12,4,3,3.134337036450972,2.82187639112928,13,7,no_improvement
13,7,4,3.287151356287841,2.82187639112928,14,8,no_improvement
14,17,14,3.328493642492664,2.82187639112928,15,9,no_improvement
15,13,4,3.5277305609476324,2.82187639112928,16,10,no_improvement
