cycle,px,py,objective,best_val,evaluated_count,no_improvement_count,status
1,,,,inf,107,1,invalid_or_evaluated
2,,,,inf,107,2,invalid_or_evaluated
3,,,,inf,107,3,invalid_or_evaluated
4,,,,inf,107,4,invalid_or_evaluated
5,,,,inf,107,5,invalid_or_evaluated
6,15,8,3.561937780469431,3.561937780469431,107,0,improved
7,,,,3.561937780469431,107,1,invalid_or_evaluated
8,,,,3.561937780469431,107,2,invalid_or_evaluated
9,,,,3.561937780469431,107,3,invalid_or_evaluated
10,,,,3.561937780469431,107,4,invalid_or_evaluated
11,,,,3.561937780469431,107,5,invalid_or_evaluated
12,,,,3.561937780469431,107,6,invalid_or_evaluated
13,,,,3.561937780469431,107,7,invalid_or_evaluated
14,,,,3.561937780469431,107,8,invalid_or_evaluated
15,,,,3.561937780469431,107,9,invalid_or_evaluated
16,,,,3.561937780469431,107,10,invalid_or_evaluated
